IPAddress,AddressState,HostName,Location
172.31.240.20,ActiveReservation,mfp-4nickerson,4 Nickerson
172.31.217.63,ActiveReservation,4 Nickerson-MASAM Classroom-115,4 Nickerson
172.31.217.65,ActiveReservation,4 Nickerson-MAMSSM Breakout Room-115,4 Nickerson
172.31.217.152,ActiveReservation,4 Nickerson-Graduate Addmissions Beth-115,4 Nickerson
172.31.220.25,ActiveReservation,4 Nickserson-MAMSSM Office ??-115,4 Nickerson
172.31.220.230,ActiveReservation,4 Nickerson-Foundation-115,4 Nickerson
72.233.140.2,Active,6NICK207,6 Nickerson
72.233.140.39,Active,6NICK213,6 Nickerson
72.233.140.66,Active,6NICK315-02,6 Nickerson
72.233.140.74,Active,6NICK208-04,6 Nickerson
72.233.140.82,Active,6NICK223,6 Nickerson
72.233.140.94,Active,6NICK208-01,6 Nickerson
72.233.140.95,Active,6NICK208-06,6 Nickerson
72.233.140.164,Active,6NICK218,6 Nickerson
72.233.140.188,Active,6NICK106,6 Nickerson
72.233.140.200,Active,6NICK117,6 Nickerson
72.233.140.206,Active,6NICK208-05,6 Nickerson
72.233.142.137,ActiveReservation,6NICK315-01,6 Nickerson
72.233.142.138,Active,6NICK315-02,6 Nickerson
172.31.255.52,InactiveReservation,ems-6nickerson,6 Nickerson
172.31.240.49,ActiveReservation,mfp-6nick-1stfloor,6 Nickerson
172.31.240.50,ActiveReservation,mfp-6nick-2ndfloor,6 Nickerson
172.31.240.112,ActiveReservation,mfp-6nick-3rdfloor,6 Nickerson
172.31.232.159,InactiveReservation,6nick117-switcher6nick117-switcher,6 Nickerson
172.31.232.160,ActiveReservation,6nick117-controller,6 Nickerson
172.31.232.161,ActiveReservation,6nick117-touchpanel,6 Nickerson
172.31.232.162,ActiveReservation,6nick117-controller-slave,6 Nickerson
172.31.232.163,InactiveReservation,6nick106-switcher6nick106-switcher,6 Nickerson
172.31.232.164,ActiveReservation,6nick106-controller,6 Nickerson
172.31.232.165,ActiveReservation,6nick106-touchpanel,6 Nickerson
172.31.232.166,ActiveReservation,6nick106-controller-slave,6 Nickerson
172.31.232.167,InactiveReservation,6nick118-switcher6nick118-switcher,6 Nickerson
172.31.232.168,ActiveReservation,6nick118-controller,6 Nickerson
172.31.232.169,ActiveReservation,6nick118-touchpanel,6 Nickerson
172.31.232.170,InactiveReservation,6nick213-switcher6nick213-switcher,6 Nickerson
172.31.232.171,InactiveReservation,6nick213-controller6nick213-controller,6 Nickerson
172.31.232.172,InactiveReservation,6nick213-touchpanel6nick213-touchpanel,6 Nickerson
172.31.232.173,InactiveReservation,6nick213-controller-slave6nick213-controller-slave,6 Nickerson
172.31.232.174,InactiveReservation,6nick207-switcher6nick207-switcher,6 Nickerson
172.31.232.175,ActiveReservation,6nick207-controller,6 Nickerson
172.31.232.176,ActiveReservation,6nick207-touchpanel,6 Nickerson
172.31.232.177,ActiveReservation,6nick207-controller-slave,6 Nickerson
172.31.232.178,InactiveReservation,6nick223-switcher6nick223-switcher,6 Nickerson
172.31.232.179,ActiveReservation,6nick223-controller,6 Nickerson
172.31.232.180,ActiveReservation,6nick223-touchpanel,6 Nickerson
172.31.232.181,InactiveReservation,6nick308-switcher6nick308-switcher,6 Nickerson
172.31.232.182,ActiveReservation,6nick308-controller,6 Nickerson
172.31.232.183,ActiveReservation,6nick308-touchpanel,6 Nickerson
172.31.232.185,InactiveReservation,6nick307-switcher6nick307-switcher,6 Nickerson
172.31.232.186,ActiveReservation,6nick307-controller,6 Nickerson
172.31.232.187,ActiveReservation,6nick307-touchpanel,6 Nickerson
