192.168.0.00,OMH233
192.168.0.01,OMH212
192.168.0.02,OMH125
192.168.0.03,OMH123-01
192.168.0.04,OMH123-02
192.168.0.05,OMH123-03
192.168.0.06,OMH123-04
192.168.0.07,OMH123-05
192.168.0.08,OMH123-06
192.168.0.09,OMH123-07
192.168.0.10,OMH123-08
192.168.0.11,OMH123-09
192.168.0.12,OMH123-10
192.168.0.13,CRAW100
192.168.0.14,CRAW120
192.168.0.15,CRAW200
192.168.0.16,DH320
192.168.0.17,DH239
192.168.0.18,DH300
192.168.0.19,DH400
192.168.0.20,DH890
192.168.0.21,CMB120
192.168.0.22,CMB319
192.168.0.23,CMB300
192.168.0.24,ALEX20
192.168.0.25,ALEX30
192.168.0.26,ALEX340
192.168.0.27,ALEX420-01
192.168.0.28,ALEX420-02
192.168.0.29,ALEX420-03
192.168.0.30,ALEX420-04
